Frame_Number,Time_Stamp,SpineBase_x,SpineBase_y,SpineBase_z,ScreenX,ScreenY,SpineMid_x,SpineMid_y,SpineMid_z,ScreenX,ScreenY,Neck_x,Neck_y,Neck_z,ScreenX,ScreenY,Head_x,Head_y,Head_z,ScreenX,ScreenY,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ScreenX,ScreenY,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ScreenX,ScreenY,WristLeft_x,WristLeft_y,WristLeft_z,ScreenX,ScreenY,HandLeft_x,HandLeft_y,HandLeft_z,ScreenX,ScreenY,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ScreenX,ScreenY,ElbowRight_x,ElbowRight_y,ElbowRight_z,ScreenX,ScreenY,WristRight_x,WristRight_y,WristRight_z,ScreenX,ScreenY,HandRight_x,HandRight_y,HandRight_z,ScreenX,ScreenY,HipLeft_x,HipLeft_y,HipLeft_z,ScreenX,ScreenY,KneeLeft_x,KneeLeft_y,KneeLeft_z,ScreenX,ScreenY,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,ScreenX,ScreenY,FootLeft_x,FootLeft_y,FootLeft_z,ScreenX,ScreenY,HipRight_x,HipRight_y,HipRight_z,ScreenX,ScreenY,KneeRight_x,KneeRight_y,KneeRight_z,ScreenX,ScreenY,AnkleRight_x,AnkleRight_y,AnkleRight_z,ScreenX,ScreenY,FootRight_x,FootRight_y,FootRight_z,ScreenX,ScreenY,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,ScreenX,ScreenY,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ScreenX,ScreenY,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,ScreenX,ScreenY,HandTipRight_x,HandTipRight_y,HandTipRight_z,ScreenX,ScreenY,ThumbRight_x,ThumbRight_y,ThumbRight_z,ScreenX,ScreenY,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,
10,0,0.123787,-0.40142,1.88848,0,0,0.149607,-0.0999667,1.95395,0,0,0.17536,0.192264,2.00396,0,0,0.206266,0.341151,2.01849,0,0,-0.00285342,0.0803863,1.97781,0,0,-0.135881,-0.124633,1.98946,0,0,-0.102695,0.0479395,1.79833,0,0,-0.0894363,0.1023,1.76154,0,0,0.318392,0.0473368,1.96316,0,0,0.405631,-0.182011,1.93146,0,0,0.359626,-0.0110984,1.75131,0,0,0.341575,0.0317239,1.70682,0,0,0.0359429,-0.383507,1.85551,0,0,-0.0395167,-0.408673,1.53765,0,0,-0.0646821,-0.755399,1.59035,0,0,-0.077737,-0.817293,1.49528,0,0,0.206926,-0.403249,1.84706,0,0,0.17969,-0.674992,1.74775,0,0,0.179801,-1.06034,1.81242,0,0,0.178507,-1.12387,1.70594,0,0,0.168998,0.120595,1.99399,0,0,-0.0871852,0.152373,1.69356,0,0,-0.0291425,0.114323,1.75027,0,0,0.332171,0.0918866,1.6485,0,0,0.294646,0.0499345,1.70277,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
11,0,0.134839,-0.394031,1.88699,0,0,0.159413,-0.0978269,1.95326,0,0,0.183721,0.189499,2.00423,0,0,0.213926,0.338639,2.01784,0,0,0.00269495,0.0803263,1.9808,0,0,-0.131557,-0.123818,1.99905,0,0,-0.101306,0.0501871,1.80261,0,0,-0.0903848,0.103928,1.76699,0,0,0.320165,0.0461124,1.96377,0,0,0.401693,-0.19242,1.9445,0,0,0.358797,-0.0130639,1.75171,0,0,0.344107,0.0252677,1.70786,0,0,0.045888,-0.376076,1.85378,0,0,-0.0129985,-0.325452,1.52768,0,0,-0.0547567,-0.68827,1.54861,0,0,-0.0497683,-0.733983,1.43533,0,0,0.21849,-0.396387,1.84601,0,0,0.179639,-0.665438,1.75595,0,0,0.178156,-1.04519,1.8069,0,0,0.175206,-1.1077,1.68945,0,0,0.177716,0.118984,1.994,0,0,-0.085761,0.157402,1.70029,0,0,-0.0315442,0.114736,1.75173,0,0,0.335938,0.0868981,1.64137,0,0,0.296928,0.0363385,1.7017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
12,0,0.155725,-0.39679,1.88422,0,0,0.170805,-0.100323,1.95207,0,0,0.187237,0.187179,2.00423,0,0,0.21825,0.335693,2.01763,0,0,0.00667626,0.0790888,1.98225,0,0,-0.13001,-0.123787,2.00145,0,0,-0.107472,0.0290263,1.82182,0,0,-0.0938936,0.102155,1.76324,0,0,0.322123,0.0447886,1.96452,0,0,0.3931,-0.194015,1.93683,0,0,0.357001,-0.014335,1.74955,0,0,0.345652,0.0197298,1.70455,0,0,0.0725758,-0.385447,1.84837,0,0,-0.00132577,-0.296938,1.53374,0,0,-0.0422569,-0.6371,1.52008,0,0,-0.0317409,-0.662805,1.39499,0,0,0.233983,-0.394226,1.8454,0,0,0.178932,-0.662823,1.75958,0,0,0.177998,-1.03815,1.80247,0,0,0.175632,-1.09611,1.68118,0,0,0.182973,0.116507,1.99377,0,0,-0.0952659,0.156101,1.69154,0,0,-0.0328734,0.11065,1.74975,0,0,0.336743,0.08397,1.63672,0,0,0.294694,0.0383082,1.70715,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
13,0,0.161288,-0.399951,1.88219,0,0,0.17482,-0.103185,1.9513,0,0,0.188955,0.184117,2.00469,0,0,0.220342,0.331766,2.01745,0,0,0.00556519,0.0779749,1.98229,0,0,-0.129318,-0.122916,1.99929,0,0,-0.10158,0.0619165,1.79296,0,0,-0.096194,0.100967,1.75705,0,0,0.319795,0.0431534,1.96437,0,0,0.387695,-0.193977,1.93176,0,0,0.354743,-0.0156572,1.74289,0,0,0.345743,0.015253,1.69881,0,0,0.0791835,-0.390168,1.84506,0,0,0.0114999,-0.258625,1.54182,0,0,-0.0212561,-0.572653,1.50383,0,0,-0.019711,-0.610761,1.37109,0,0,0.23752,-0.395298,1.84499,0,0,0.177835,-0.663967,1.76076,0,0,0.17775,-1.03425,1.79714,0,0,0.175651,-1.08788,1.67468,0,0,0.18534,0.113548,1.99392,0,0,-0.103761,0.163328,1.69503,0,0,-0.0335337,0.100755,1.74442,0,0,0.34996,0.0791702,1.63013,0,0,0.295218,0.037117,1.70051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
14,0,0.166707,-0.402808,1.88201,0,0,0.177832,-0.106181,1.95137,0,0,0.189429,0.180256,2.00522,0,0,0.219649,0.326513,2.01595,0,0,0.00692402,0.0766779,1.98314,0,0,-0.128625,-0.123198,1.99463,0,0,-0.100439,0.0630218,1.78883,0,0,-0.0936176,0.103631,1.75386,0,0,0.321827,0.0423088,1.96622,0,0,0.384582,-0.194881,1.92449,0,0,0.351007,-0.0145739,1.73439,0,0,0.343973,0.0136511,1.69228,0,0,0.0849532,-0.394153,1.84501,0,0,0.0159325,-0.247454,1.54412,0,0,-0.00261955,-0.537469,1.49947,0,0,-0.0163882,-0.591191,1.35965,0,0,0.24204,-0.396546,1.8451,0,0,0.174516,-0.669373,1.76148,0,0,0.179333,-1.03013,1.79115,0,0,0.178785,-1.07961,1.66642,0,0,0.186541,0.110025,1.99429,0,0,-0.0958632,0.162272,1.71083,0,0,-0.0302641,0.103349,1.74434,0,0,0.339864,0.0777372,1.63096,0,0,0.287351,0.0368629,1.70207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
15,0,0.170869,-0.406043,1.88103,0,0,0.179449,-0.109274,1.9521,0,0,0.188456,0.175757,2.00813,0,0,0.217797,0.323043,2.01783,0,0,0.00735489,0.0718611,1.98429,0,0,-0.12745,-0.120719,1.97576,0,0,-0.0995599,0.0618158,1.78944,0,0,-0.0875148,0.108699,1.75332,0,0,0.322398,0.0401637,1.96819,0,0,0.382534,-0.194535,1.92156,0,0,0.346327,-0.0174989,1.7299,0,0,0.339951,0.0177188,1.69312,0,0,0.0893366,-0.39787,1.84336,0,0,0.0171665,-0.250701,1.54149,0,0,-0.00120395,-0.53829,1.50048,0,0,-0.0123361,-0.599934,1.36074,0,0,0.245711,-0.398881,1.8449,0,0,0.174213,-0.67316,1.76175,0,0,0.178869,-1.02808,1.78604,0,0,0.178156,-1.07522,1.65967,0,0,0.18643,0.106009,1.99651,0,0,-0.0856931,0.171163,1.71483,0,0,-0.0285041,0.10143,1.74877,0,0,0.341624,0.0822334,1.63229,0,0,0.280512,0.0462051,1.69963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
16,0,0.17283,-0.40813,1.88,0,0,0.180002,-0.111252,1.95325,0,0,0.186744,0.173193,2.01295,0,0,0.213207,0.320639,2.02442,0,0,0.00473361,0.0650345,1.98235,0,0,-0.127104,-0.120762,1.97382,0,0,-0.0960911,0.0613182,1.78842,0,0,-0.0792684,0.112104,1.75602,0,0,0.317009,0.0400477,1.97126,0,0,0.380757,-0.194111,1.9211,0,0,0.350875,-0.0577069,1.76534,0,0,0.335558,0.0243524,1.69926,0,0,0.0915229,-0.400885,1.84183,0,0,0.0144696,-0.290597,1.51376,0,0,-0.00317874,-0.643391,1.49372,0,0,-0.00985173,-0.689942,1.38389,0,0,0.247315,-0.399953,1.84441,0,0,0.175029,-0.674662,1.76202,0,0,0.178143,-1.02711,1.78454,0,0,0.177942,-1.07387,1.65792,0,0,0.185453,0.10351,2.00022,0,0,-0.0813063,0.174506,1.71588,0,0,-0.0225017,0.10344,1.75264,0,0,0.349581,0.0736658,1.63603,0,0,0.283713,0.0408523,1.69964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
17,0,0.166265,-0.412259,1.88047,0,0,0.176682,-0.113921,1.95745,0,0,0.184029,0.172564,2.02143,0,0,0.209152,0.319878,2.03448,0,0,0.00116272,0.0606599,1.98003,0,0,-0.127529,-0.121771,1.97179,0,0,-0.0940133,0.0604774,1.79101,0,0,-0.0776834,0.112146,1.76123,0,0,0.310337,0.0359624,1.97177,0,0,0.378252,-0.196439,1.92792,0,0,0.34083,-0.0146344,1.74746,0,0,0.332643,0.0256788,1.70986,0,0,0.0847225,-0.405164,1.84295,0,0,0.000713876,-0.397517,1.50033,0,0,-0.00428271,-0.725653,1.51453,0,0,-0.00722504,-0.794922,1.42578,0,0,0.241309,-0.403522,1.84455,0,0,0.176871,-0.674589,1.76271,0,0,0.174159,-0.950749,1.78255,0,0,0.170987,-0.998517,1.65534,0,0,0.182507,0.102329,2.00746,0,0,-0.0819286,0.174145,1.71593,0,0,-0.0184453,0.113011,1.76194,0,0,0.342645,0.0806545,1.65437,0,0,0.27975,0.0423395,1.70976,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
18,0,0.151582,-0.403883,1.8745,0,0,0.167936,-0.110717,1.95877,0,0,0.179199,0.173084,2.02738,0,0,0.204416,0.320701,2.04206,0,0,-0.00355168,0.062254,1.97887,0,0,-0.137668,-0.132837,1.98287,0,0,-0.0945031,0.0542339,1.79799,0,0,-0.0841371,0.105461,1.76452,0,0,0.307053,0.0355531,1.97518,0,0,0.376815,-0.199195,1.94842,0,0,0.342551,-0.0180603,1.75288,0,0,0.332654,0.0200196,1.72264,0,0,0.0669489,-0.39034,1.83676,0,0,-0.00606467,-0.480577,1.51326,0,0,-0.00551288,-0.794981,1.54949,0,0,-0.00264988,-0.852126,1.4287,0,0,0.229805,-0.400549,1.83913,0,0,0.177727,-0.681656,1.76175,0,0,0.172232,-0.954024,1.78704,0,0,0.170033,-1.00728,1.66385,0,0,0.176851,0.103408,2.01241,0,0,-0.0892626,0.170984,1.70849,0,0,-0.0194038,0.116525,1.77338,0,0,0.319808,0.0824303,1.67746,0,0,0.276823,0.0416484,1.72718,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
19,0,0.146805,-0.403722,1.87287,0,0,0.161454,-0.109764,1.95973,0,0,0.172417,0.174321,2.032,0,0,0.193771,0.322009,2.05191,0,0,-0.0043995,0.0609559,1.97938,0,0,-0.144012,-0.141988,1.99157,0,0,-0.10041,0.0460297,1.79677,0,0,-0.0967734,0.0892312,1.75835,0,0,0.306368,0.0371387,1.98171,0,0,0.377357,-0.199982,1.95643,0,0,0.343481,-0.0210362,1.75622,0,0,0.337063,0.00523897,1.72485,0,0,0.0647112,-0.390224,1.83529,0,0,-0.0104456,-0.541345,1.54102,0,0,-0.0139346,-0.855023,1.58035,0,0,-0.0106412,-0.914099,1.46219,0,0,0.222188,-0.400918,1.83741,0,0,0.176968,-0.687201,1.7522,0,0,0.170335,-0.964739,1.79542,0,0,0.169318,-1.02987,1.68292,0,0,0.17002,0.10459,2.01621,0,0,-0.100874,0.158227,1.69795,0,0,-0.0300063,0.107906,1.769,0,0,0.334132,0.0648846,1.66067,0,0,0.282757,0.0255392,1.7195,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
20,0,0.138531,-0.402843,1.87165,0,0,0.150441,-0.107581,1.96019,0,0,0.160429,0.177444,2.03423,0,0,0.178756,0.32691,2.07045,0,0,-0.0109274,0.0615571,1.97875,0,0,-0.15222,-0.154536,2.00768,0,0,-0.117121,0.0162145,1.78876,0,0,-0.114143,0.0671725,1.74514,0,0,0.309827,0.0444539,2.01369,0,0,0.372723,-0.19988,1.96527,0,0,0.349108,-0.0450244,1.77336,0,0,0.343654,-0.0130269,1.72895,0,0,0.0595271,-0.388831,1.83331,0,0,-0.0153272,-0.646758,1.589,0,0,-0.0367194,-0.949745,1.61804,0,0,-0.0303003,-0.9949,1.49069,0,0,0.211266,-0.401098,1.83726,0,0,0.176233,-0.688652,1.74632,0,0,0.169744,-0.971042,1.79952,0,0,0.178569,-1.04151,1.69377,0,0,0.158168,0.107484,2.0181,0,0,-0.12478,0.134277,1.68761,0,0,-0.0532185,0.0828275,1.74344,0,0,0.326439,0.0404868,1.67844,0,0,0.289074,0.00126934,1.71777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
